elapsed_time,n_trial,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
4086.0092039108,1669,0.1048829556,RRTConnectkConfigDefault,1,0.8116621971,0.1048829556,1.7029173787,7.8432993462,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4088.9361770153,1670,0.3266189098,RRTConnectkConfigDefault,1,0.9874031544,0.3266189098,1.7028009208,7.6027981112,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4091.5818128586,1671,0.1502649784,RRTConnectkConfigDefault,1,1.0066699982,0.1502649784,1.7029717674,7.0232370225,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4094.4904630184,1672,0.2042179108,RRTConnectkConfigDefault,1,0.8808159828,0.2042179108,1.7027265948,6.9106602278,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4096.9958710671,1673,0.1822009087,RRTConnectkConfigDefault,1,0.9763870239,0.1822009087,1.702563703,8.7370225485,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4099.3334720135,1674,0.1419408321,RRTConnectkConfigDefault,1,0.9987850189,0.1419408321,1.70279573,8.7650602412,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4101.6472120285,1675,0.1627211571,RRTConnectkConfigDefault,1,0.93891716,0.1627211571,1.7027016056,7.4841517839,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4103.8094909191,1676,0.154966116,RRTConnectkConfigDefault,1,0.8040139675,0.154966116,1.7028059248,7.9165432211,1,"{'default': 1.2000000000000002, 'type': 'geometric::RRTConnect'}"
4105.9185190201,1677,0.0870320797,RRTConnectkConfigDefault,1,0.7746691704,0.0870320797,1.7028536918,7.765959597,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4108.1899440289,1678,0.1505701542,RRTConnectkConfigDefault,1,0.8282780647,0.1505701542,1.70279732,7.5436402377,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
